r1bqkbnr/pppp1ppp/2n1p3/8/6PP/8/PPPPPP2/RNBQKBNR w KQkq - 1 3
r2qk1nr/p1p4p/1p3pp1/5P2/P7/6Pb/1P5P/RNB1K1NR w KQkq - 0 13
4r1k1/1p4p1/pb1p3p/4p3/Q2P1P2/2P5/PP4PP/R1B1K2R w KQ - 3 17
1k6/6p1/pp6/2rB1PPp/5K2/4r3/P1R4P/7R w - - 2 37
4k1n1/p7/5p1p/1P2p3/P3P3/4KNP1/3P1P1P/2r2q1R b - - 4 19
rnbqkbnr/p3p1pp/1p3p2/3p4/1P4P1/3QB3/P1P1PP1P/RN2KBNR b KQkq - 1 6
rn2k2r/2p2Np1/pp2bn2/2Pp3p/1P1Pp3/4PP1P/P5Pb/RN2KB1R w KQkq - 1 15
5r1k/1b3B1p/1p2p1p1/2p2p2/3pPP2/BP1P4/P1P4P/R4RK1 w - - 1 18
2r3k1/6p1/8/pp3p1p/1B2P3/5P2/1PPp1nP1/R4RK1 w - - 0 23
rnb1k3/pppp1p1p/8/4p3/7q/bP1P2P1/P1P1PP1P/RN1QKBNR b KQq - 0 5
rnbqkbnr/p3p1pp/1pp2p2/3p4/1Q6/2PPBN2/PP2PPPP/RN2KB1R b KQkq - 1 7
r1r3k1/5N2/p3pppp/B2p1P2/P2PP2P/3n4/1P4P1/R2nR1K1 b - - 4 21
7k/1pp3R1/8/p2P1p1p/P1P4P/6p1/6P1/2K5 b - a4 0 28
1Q6/2Bp4/k2N4/3PP2p/7P/8/8/6K1 w - - 1 36
3r1k2/2p5/1p1bB2p/6p1/5B1P/2PPpP2/PP2P3/1R2K1NR w K g5 0 16
r2k3r/6pp/2p2p1B/3pp3/p2PP1b1/2P1nPPN/PP1K3P/R4Q1R b - - 2 16
6k1/4Ppp1/1p1P3p/1P3PPP/p7/P2b4/3n1b2/3K4 b - - 30 72
r1b2rk1/ppp2p1p/6p1/1P1p4/2P1P2P/4nP2/P2Q2P1/R2K4 w - - 5 18
r1bqkbnr/1pppp1pp/2n5/p4p2/3P4/2P4N/PP1KPPPP/RNBQ1B1R b kq - 0 4
r1bqkb1r/1p1npp1p/6p1/pBp5/3P4/5PPP/PPP5/RNBQK1NR w KQkq - 1 8
r1b2rk1/p3pN1p/2n3pb/1Bpp1p2/3P4/2P1P3/PP4PP/RNB1K2R w KQ - 3 12
rnbqkb2/pp1p2p1/2p5/4pp1p/1P5P/3BP3/P1PP1PP1/RNBQK2R b KQq b4 0 7
r1k1r3/5ppp/bpp1p3/3PP3/6P1/P2Q1N2/5P1P/1K1Rn2R w - - 1 23
rnbqkb1r/p1pp1pp1/1p2p2p/1B6/3PPPnP/8/PPP3PR/RNBQK1N1 b Qkq - 1 6
r1b1k2r/1p6/4P1pp/2p5/P2P4/B4p1P/5R2/R3Q1K1 w - - 0 23
2R5/p7/8/3p1k2/3P3P/P5p1/1P4P1/6K1 w - - 1 41
4q1k1/4P3/1p4p1/1Pp4p/r2P1n1P/5QP1/p7/R6K b - - 0 40
8/5Npk/4p2P/4P3/p4p2/P4R2/1P6/6K1 b - - 0 38
rn1qkbnr/1pp1p1pp/p7/3p3Q/8/2N1P3/PPPP1P1P/R1B1KB1R b KQkq - 1 6
r1bqkbnr/p1pn1pp1/8/1p1pp2p/3PPP2/P1P4N/1P4PP/RNBQKB1R b KQkq - 1 6
r2k4/1p1P1ppp/2n2r2/p3P1Q1/2p5/8/PPP2P1P/R3K2R w KQ - 3 19
2r1k3/p3P3/1p4p1/3p4/3Pn3/7r/P6P/4K2R w K - 1 23
rnb1k1nr/p1pp1ppp/1p6/2b1p3/2PPPPq1/P4NPB/1P5P/RNBQK2R b KQkq - 1 8
r3k2r/1pp2p2/p1n5/1B4pp/3P4/B1P4P/P5P1/R4RK1 b kq - 0 17
7k/1p3r2/4Q1p1/B2p3p/3PpP2/8/PP4PP/4K3 w - - 8 24
r1bqkb1r/pp2pp1p/n2p1np1/Q7/2pPP1P1/8/PPP2P1P/RNB1KBNR b KQkq - 1 7
3N1r1k/1p3ppp/5q2/B3pP2/7P/r3n3/P3K1P1/R1Q5 b - - 0 22
r1k4r/1p2b2p/2pN3n/p2pp3/3PPp2/PP3P2/2P1N2P/1K1R2R1 b - - 3 21
rn1qkbnr/p1p2p1p/6p1/1p1pp3/3P2b1/2N2NP1/PPP1PP1P/1RBQKB1R w Kkq e5 0 6
r3kb1r/3p1p2/1pp1pnpp/p7/3PPB2/1P6/P1P2PPP/RN2KBNR w KQkq - 2 9
1k1r4/p6p/B1p5/5p2/2N5/1PPpP3/P4PP1/2KR4 b - - 1 19
1k1r4/4b1p1/p2pP3/2p5/2Pn4/P4PPB/1P6/3R1K2 w - - 1 23
r1b1k1nr/2p4p/1p3q1P/3p1P2/2PPp3/pP2P3/P3Q3/RN2K2R b KQkq - 1 18
6k1/8/2p5/6P1/p4p2/8/1P6/6K1 b - - 0 31
rn2k2r/pp2b1p1/8/2ppp1Np/4P3/3P4/PPP1B1PP/1K5R b kq - 1 15
N2R4/1k5p/1p5P/1Pp5/2Pp4/3P4/8/2K5 b - - 0 39
3k1r2/2R4p/p5p1/3pp2P/3P4/PP4P1/5P2/1K6 w - - 0 25
8/k5b1/P3p3/3pP3/3P1P2/6R1/4r3/3K4 b - - 53 75
3qk2r/2p3pp/p2b1n2/3pP1P1/1P6/5Q2/P1P2P1P/RNB1K2R w KQk - 3 12
8/4r3/4P3/8/8/4Kk2/p4R2/8 w - - 0 65
4k3/1R6/4p3/2ppP2P/3P4/p7/3K4/8 w - - 2 36
2bk3r/1p3p1p/2p3p1/p2p4/3Pp3/4P1PP/PP6/R1B1KBNR w KQ - 0 15
rn1qkbnr/1p2p2p/pQ3pp1/2pp4/8/4P3/PPPP1PPP/RNB1KB1R b KQkq - 1 7
2r4k/1p1nbp2/p5pp/3pP3/3P4/P1P3PP/1P2Q3/R1B1K1NR w KQ - 1 16
r4rk1/p6p/2p3p1/4n1B1/1b1P4/8/PPP3PP/R3R1K1 w - - 1 21
r1b1kb1r/pp6/n1p1p3/2Pp3p/3P1q2/P1N2N1P/1P3PP1/R2Q1K1R b kq - 4 13
r1bqkbnr/ppppppp1/2n4p/8/5P2/2P5/PP1PP1PP/RNBQKBNR w KQkq - 0 3
